Sample	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal
547	-0.125840626	-0.482355118	-0.339482319	-0.51349373	2.18E-04	-0.275846554	-0.872617182	-0.460756225	-0.825574073	-0.500412201	1.053770005	-0.184647402	-0.120112583	-0.271460796	0.586163323	-0.34614566	-0.621093808	-0.599044841	-0.343392148	-1.37E-02	-8.37E-02	-0.606929496	-1.694760865	-2.356516902	0.614993127	-1.668688186	-1.51949709	-0.167458123	0.235176771	0.112376825	0.456350383	-0.73638979	-1.122665753	0.154139604	-1.270391058	-2.455632077	0.159238286	-2.424619454	0.841349419	0.286333899	-0.55539869	1.007310855	1.55176139	1.257830838	1.698564955	1.545284378	0.911449552	0.943528249	0.289530421	1.892143578	1.524759361	0.875345398	0.837710346	1.421458567	1.01E-02	0.752916096	0.825252175	-0.305255488	1.190314641	0.461799658	-0.182476171	0.549203109
548	-0.395613217	0.532731389	-0.042769472	-0.391918247	-0.365773708	-0.539759797	-0.582031055	0.29212003	-1.98963322	1.122024865	1.424458414	0.316924034	-8.38E-02	-0.106754438	0.356226289	-1.40466021	-2.273095777	-2.296699937	-2.084461515	0.457451447	0.267129827	1.48355169	-1.162071843	-2.204096823	0.144857907	-0.704470132	-0.424367892	0.310786035	0.907583733	0.472965758	0.960931451	-0.651076034	-0.353085762	0.266821729	-0.596757251	-0.817860814	0.446354997	-0.568976925	0.158486213	-1.479241276	-1.225201917	0.632070065	1.050415199	0.837132246	1.87699937	0.609278351	1.224172204	1.359709373	0.91977434	0.879558068	0.921345176	0.493337575	-0.300414362	1.29354151	0.623048586	0.448520335	-0.245283332	-1.275928663	-0.207355099	1.089889875	-0.12834271	0.721291306
549	0.204244425	0.572826656	-0.529437577	0.407220193	-0.719306354	-1.96689432	-2.71E-03	-1.220658709	1.965522704	-0.533254742	0.350648216	0.758064431	-0.149673462	-0.513598001	0.234766491	0.973867335	-0.912095076	-3.002586244	-5.13E-02	-1.949408332	0.782120316	0.104817357	-1.141737332	-2.783058232	0.401588112	0.355521951	-5.87E-02	1.332178135	1.838915421	1.01253667	1.199129016	-1.512761172	-0.838393834	0.698538589	0.59057716	-0.525365855	0.776477026	-0.848222915	-0.726563639	1.027105836	0.667912327	-0.446785391	0.461322434	0.192404176	0.8247525	0.634921084	0.973479268	-9.06E-02	-0.789642317	6.49E-02	-0.997076523	0.955101528	1.028936238	0.289621396	-0.205363631	-0.71439208	0.219916806	0.13812348	1.61775284	-6.85E-02	-0.095742965	-0.262053784
550	-1.255879941	-0.633885117	-2.016678166	-1.333837594	-0.430541724	-1.055911141	-2.19E-02	-0.918296317	0.528548346	-0.368374916	1.499598382	4.56E-02	-0.647344196	-1.607425733	-0.446033461	-1.824564768	-2.206186906	-1.688344773	-0.212440273	-1.526069321	-1.04708059	-1.270134239	0.169470822	-2.017516592	0.639982613	-5.01E-02	-0.36575576	0.946137016	-3.01E-02	0.799632581	0.332747952	0.359806312	0.693509138	0.995444613	-0.509715247	1.245529767	-0.154729082	0.593371696	-0.357618238	0.409569829	2.03E-02	0.83331481	0.559070381	1.733942674	0.694440605	1.71948393	1.643926772	0.317220656	-0.302031084	0.576284585	0.133245703	1.895164532	0.916322183	0.400002494	1.072426663	0.666430717	0.31090129	-0.140893451	1.194826162	-7.09E-02	0.464326217	9.98E-02
551	-0.204433965	-0.631036607	-1.608292679	-1.34641651	-0.36818312	-0.661079033	-0.889322937	-0.328958714	0.11784464	7.89E-02	1.571341242	-0.27236101	-7.49E-02	-0.892026849	0.477235921	-0.845742833	-0.274232139	-0.516853684	-0.408295825	-4.41E-02	-0.602239016	0.306365871	-6.90E-02	-2.802181709	0.617234144	-1.229184761	-1.225281088	0.447202141	0.928212185	0.423897369	0.653766851	-0.049453596	-0.507837233	1.114998686	-1.108993736	0.487359657	-8.21E-02	6.07E-02	0.307447798	-0.307601185	-1.685351537	1.213035938	1.718855121	1.287796053	1.669202359	1.792255463	1.461028971	0.494911503	-0.663273491	1.05474106	1.326827901	2.292882802	-0.133828808	0.848160154	-0.591705097	-0.438368385	0.222125894	-2.298360694	0.556454695	-0.534028527	-0.258203542	0.422415347
552	0.109079302	0.659419246	-0.58988896	0.205213623	3.24E-02	-1.625215742	-0.369343883	0.349378103	0.185271139	0.764652769	2.04E-03	1.522664754	-0.782954661	-1.029354386	0.52151937	-0.271581799	-1.127820732	-2.231760267	1.218381784	-2.044807487	0.262195107	0.495992406	-0.345476618	-3.177990814	0.115537384	0.458273214	-0.279140913	2.001211172	1.685837834	0.180255264	1.908288944	-0.787611811	-2.311109128	0.424812998	1.045341642	-0.799013647	0.809527265	-0.562464634	-0.584477345	0.236538832	0.512704922	-0.18866435	0.139244007	-0.456346064	1.241463867	0.182224951	3.46E-02	1.000690201	-0.920930767	0.152923546	-0.69356658	0.198983486	0.266932226	1.048655747	0.262397262	-0.746609403	1.125265623	-0.147098741	1.108911187	0.376466101	0.133563679	-0.905572352
553	0.79811277	1.022452039	0.229757138	0.964285275	-0.241976173	-0.625885091	0.135953935	-0.814492949	2.129520527	0.390683251	0.482444301	1.553838858	0.193617977	-0.104362744	0.513767806	-0.145445077	-1.553961777	-1.640482915	-1.25E-02	-0.801695119	0.460900329	0.986735726	-1.994763438	-2.713804769	0.708696707	-0.295445779	-0.44466816	1.277757155	1.85526086	0.725639275	1.469354375	-2.238472063	-1.214378709	0.53577587	-0.188147005	-1.48979248	2.266409207	-0.801725306	0.177303026	-0.37384638	-0.402450691	-5.08E-02	0.6734804	-0.138861235	0.74779538	-8.13E-02	-4.98E-03	0.157126832	-1.074606551	0.139695483	2.80E-02	-0.130645504	0.555595053	0.560535345	-0.491182436	-0.717729225	1.238365856	-0.306805252	-0.557359044	-0.151945637	-1.387210691	0.212879854
554	0.623358796	1.303247524	-0.500223684	0.758431925	-1.055811556	-0.899140874	2.82E-03	-0.493173598	1.143057746	0.517081732	8.43E-03	1.030844485	-0.876709373	-0.331290687	0.701198455	-7.16E-03	-1.669182883	-1.113514042	-0.541163623	-1.258545284	0.662055473	1.380592583	1.478264623	1.5201871	0.831095865	-1.295873246	-0.969458421	0.800974153	0.957089129	0.543047655	0.65036291	-2.559179295	-2.081006196	0.184665278	-0.288436935	-2.116930291	0.320945338	-1.394087399	0.927569778	0.250375323	-0.120701971	0.408492159	0.892370034	-1.65251418	1.855575508	0.245389455	0.863241018	-9.83E-02	-0.126031052	1.378023057	-2.15E-02	0.97986992	-0.276935427	0.749721107	-0.702734141	-0.580955475	-0.451794584	-0.533783637	0.234476209	0.871320891	-1.222571457	0.164533776
555	-9.35E-02	1.073006641	-0.862179699	-0.740729478	-0.517069924	-0.687124318	-1.114718794	-0.966489551	0.033549718	-7.09E-02	-0.374867296	1.324346624	-0.619630734	-0.641022151	-0.125645106	-0.760543353	-1.690560889	-2.953865151	-0.846800267	-1.091792201	-8.59E-02	0.473872573	-1.928953088	-3.644873024	-6.58E-02	-0.251732171	-0.453772871	0.510899774	0.875079615	-8.86E-02	1.306781158	-0.74578877	-1.306751559	0.417495082	0.271980492	-0.499807468	0.388471083	-0.661384666	0.87544445	0.370127237	0.679310239	0.220127311	1.359364232	0.401362381	1.254493046	0.290790826	0.619187103	0.840313305	0.302027348	1.376944624	0.433135829	0.743038779	0.671501217	1.132788596	0.708643804	0.496107338	1.149531986	0.702089064	0.698185624	0.776253614	0.144720375	0.969957939
556	-0.758629121	-0.043120701	-1.497244909	-1.426463106	0.323799031	-1.092740078	-0.148399499	-0.466978247	-1.098418976	1.197463132	2.005933784	0.214962362	0.237940614	-0.675665891	0.384219596	-8.79E-02	-1.872193139	-1.505624782	-1.007300803	2.24E-03	-0.432371485	0.398345453	8.42E-02	-1.663067389	0.363996214	0.683559524	0.682306132	0.981107272	1.586667145	2.184900802	0.524422355	-0.183013037	-0.681691367	0.70498578	-0.952447029	-0.632045306	-0.279681585	-0.188351422	0.522003745	-2.06E-02	-1.698073856	0.199478424	0.532644145	1.781218534	2.128202998	1.552781372	0.999678675	1.475556897	-0.115704651	0.2536141	-0.134540895	7.25E-02	-0.597622448	1.65E-03	0.350843292	-0.373288696	-1.37603319	-2.116501772	-0.496635362	0.653647697	0.83069957	-0.293198782
557	8.95E-02	0.718796244	-0.89539958	-0.26138411	-0.647193407	-0.651238533	0.148438754	0.511010458	0.556666351	0.945004037	1.949438213	1.415801949	3.37E-02	3.67E-02	-0.209210643	-2.661520459	-8.93E-02	0.548425659	0.131908661	0.532876056	0.325724588	0.875847776	-1.563099172	-1.8412889	0.383418816	-0.922738879	-1.056514623	3.43E-03	1.329331881	1.261030607	1.1607021	-0.570135722	-0.39933502	0.299067155	-0.23880849	-1.930324221	1.226950004	-1.79672877	-1.451455749	-0.122567562	-1.853723764	1.018644425	1.372992161	0.828511377	1.226130333	1.231190244	0.323235218	-0.181177093	0.615705488	0.77713325	-0.170006177	0.358529395	-0.291692219	0.534962417	6.85E-02	1.91E-02	-2.203591347	-1.378717029	-0.132142704	0.619766903	-0.219080718	0.260216169
558	3.22E-03	0.563670231	0.149740884	-0.486477604	8.15E-02	-0.296952072	0.055938008	0.361636011	-1.010403472	1.696123731	2.111426518	0.623136529	0.618195413	-0.234430329	0.681333815	-1.400096273	-1.494668192	-0.923517211	-1.433843569	0.139553451	0.735657809	1.556319833	-1.031619864	-1.598150693	0.292516104	5.22E-02	0.301564368	1.247146399	1.680381458	1.57169255	1.136044343	-0.727193371	-0.198087636	0.961534895	-0.818577135	-0.940178171	1.650052286	-0.905010403	-0.19013945	-2.092345354	-1.819192686	0.816512196	-0.144782049	1.043910732	2.00784414	-0.357850264	0.841905977	1.000939451	-0.482555854	-6.41E-02	0.403531833	0.473214187	-0.326010877	-1.099834537	0.109430276	-1.317256107	-0.382345948	-1.114741713	-0.290426167	-0.212897693	-1.033895987	-0.54031224
559	-0.809070916	-1.058986645	1.727383476	-0.668441709	-0.438657462	3.71E-02	-1.119796268	2.012791921	-5.45E-02	-0.252934081	0.50943425	2.248586491	-0.663184029	1.263500531	-7.48E-02	0.109798584	-1.090801053	-2.11E-02	-0.854470164	-0.264120485	-1.09411057	0.367179844	-0.222160457	-0.51775047	0.425736043	-1.167685165	-1.070760876	-0.372495661	-1.256937634	-0.222233984	3.051906818	-0.40915143	-0.722221531	5.58E-02	-1.233795703	-0.198255056	-0.230312494	-0.581417236	0.946962314	-0.593160649	-1.055240104	0.477790114	0.501036968	0.989620767	2.978865156	0.659021912	0.712048639	0.103535851	-0.519995498	1.722978164	3.66E-02	0.479953821	-0.330871484	0.919226101	-0.235635444	-0.381975332	-0.163004375	-1.545432976	-0.141486826	-1.00989434	-0.560577605	0.870535254
560	-0.288403603	1.024587488	0.615168859	1.064879194	-0.207111758	-0.495397681	-0.557113515	-0.899786158	1.091517876	0.372000528	-0.460771126	1.836421456	0.299520538	0.172899603	0.20036076	0.434382697	-1.720016187	-1.197114853	-0.851532334	-0.703705239	-1.268356961	1.285072764	-1.307080161	-1.545550483	-0.367965585	-0.470121747	0.237105334	0.401130202	1.347284486	0.377313312	1.965110759	-0.293100444	-0.52481763	0.678580736	0.522647799	-0.734437126	0.649655399	-1.215786463	-0.648982088	2.57E-02	0.613344951	-0.356202183	1.581587634	0.252420758	1.714789936	0.530138211	0.642076122	1.545908089	-0.261408313	0.532424664	-0.989881524	-1.248484798	-0.970384683	1.547160404	-1.456532923	0.365481439	2.00736387	-0.119196887	-1.737997633	-0.45074466	-1.593954144	-0.992052014
561	-2.820618597	-0.631951576	-1.289657572	-0.414652373	-0.347035259	0.312370402	-1.039369608	0.674776913	-0.633924876	0.847473167	0.409511557	0.335392709	-0.758343117	-0.642312015	6.60E-04	-0.86512337	-0.982109918	0.309195074	-0.266778524	0.498859863	-1.546189807	-0.398239819	-1.351015527	-1.248184307	0.593773978	-2.018545806	-0.916722249	-0.061977065	-0.828783742	2.85E-02	0.94477853	-0.392810898	0.440596851	-5.77E-03	-0.453589766	-0.454055126	-0.213481883	-4.70E-02	0.433793507	-0.383139842	-0.835172991	1.241648459	2.007358304	1.327418692	1.746104904	1.323988957	1.289260444	1.376990701	0.053341059	2.275750521	-0.190543841	0.544679721	-0.172270866	1.058400722	0.125427035	1.161663086	0.685818184	-1.420794369	-0.383997755	0.705370987	-0.432865441	1.694114712
562	-0.689024259	-0.154148468	-2.969824453	-1.217594615	-0.349767632	-0.304408474	-0.50002612	0.275275533	2.287178989	0.392726544	0.765011662	0.286374095	1.83E-02	-0.427143412	0.221540311	0.245069385	-2.244484694	-0.819412116	-0.718631046	0.260685239	-0.170879997	-0.514766784	1.436480377	-2.312904201	1.16554583	-0.716412676	-0.645898516	0.117007933	-0.121032781	0.726344782	-0.146614573	-0.424455578	0.719112201	0.163987122	-0.248145549	-2.59E-03	-0.423993508	0.885991108	-0.125030117	0.13301433	-0.929622164	1.133612964	0.654873289	1.118804171	1.059169498	1.079200386	2.435144686	0.262295895	-0.490172526	-0.349749809	-0.80091103	1.966842544	0.217183423	1.044971547	-0.90604843	0.746750945	-1.445620156	-1.069809202	0.998148398	-0.735997443	-0.352383926	0.510875215
563	0.371332035	0.256884395	0.374580626	0.375954385	-0.186280348	-0.101736498	1.541434571	0.565691114	1.820956545	0.770876664	1.629781761	0.739083227	-0.308301531	-0.856224696	-0.193560317	-1.020788082	-1.205252057	-1.607055379	0.331130121	0.737397799	1.079826713	0.634870192	-2.062019495	-3.021096782	0.198425478	0.251272289	-9.91E-03	1.080010813	1.733724203	1.632711448	0.873866379	0.551164069	0.597479857	0.422429605	4.19E-02	-0.427093283	1.866605808	-0.414190396	-1.691616868	-0.431392867	-1.684917607	-0.256818088	0.914145502	1.037522503	0.777964278	0.83867757	0.315847277	-1.42E-02	-0.310214064	-0.537695865	-0.397123082	0.296906664	-1.131555414	-0.987026791	-0.563574618	-1.084082219	-0.533040196	-0.968008908	-0.410350287	-0.803516744	-0.778219181	-0.663578007
564	0.752072655	1.033275762	0.421983608	1.225973402	-1.01008883	-0.910378839	1.496571119	0.647694364	-0.167105081	0.898975292	0.32615547	1.382010197	-9.27E-02	0.577173122	0.797702386	-0.110938405	-1.248540953	-0.440757575	-0.550254827	-1.13999624	0.924991361	1.759995338	-0.797203548	-1.267967194	0.723043311	-1.527566535	-1.35058161	1.036119137	0.686528454	0.392576642	0.649133023	-2.115790123	-2.142805405	0.44142873	-0.570343865	-2.211572497	1.114303432	-1.678934516	-9.80E-02	-0.43306432	-0.695090891	0.52265416	0.918145449	-1.083277517	1.724740861	0.131794488	0.756120834	0.256830203	-6.23E-02	1.384902231	0.246277888	0.390123991	-0.609358171	1.094657557	-0.339605766	-0.793649494	-0.774883221	-0.991309637	0.517136766	0.908461828	-0.8426817	-8.28E-02
565	-1.579786803	-1.254217942	-0.426914265	-1.230989663	-0.837413219	-0.687337928	-0.117060393	0.14737215	0.364718992	0.936233102	2.215718226	0.62369177	-0.998616865	-0.432995861	0.570028158	0.120128721	-2.218172056	-1.29135415	-0.564229071	0.160054576	0.158404482	-6.43E-02	-0.68695017	-2.318669109	1.338945867	-1.026330782	-1.088547655	-0.304987475	-1.629582094	1.167098039	1.854882921	0.533930111	0.28709987	0.254317273	0.648452501	1.415660927	-0.55593934	-0.953598643	-0.155845461	-0.172184731	-0.5127807	0.063234411	0.988215863	1.336848139	1.22E-02	1.479164614	2.238640878	-0.792947506	-0.597290617	0.934894017	0.872985448	1.262064478	-0.344133472	0.522845612	0.590991101	0.482242115	0.71617712	-0.86455555	5.97E-02	-0.152816804	-0.897424107	0.400996991
566	-1.274780983	0.447571099	-2.811038213	-1.04291719	0.180914781	-0.649481377	0.10879247	-0.124068355	-0.660265378	2.356576864	2.039283258	0.403739965	-0.795323071	-0.706659515	-0.209933377	-0.204915367	-1.568594761	-0.117918401	-0.904547563	6.05E-02	5.06E-02	0.541840168	0.528909342	0.044632247	6.27E-02	-0.939404927	0.414027653	0.351182775	1.213902162	0.910319565	1.044408424	0.310341376	0.918538001	-6.71E-02	-0.346667015	-0.973534675	0.979862837	-0.646052125	0.785056656	-2.370336144	-0.996110404	0.769544403	0.405480097	1.147116387	2.25035758	-3.06E-03	1.228962153	2.217336137	0.685974897	3.87E-02	0.205928562	-0.152771528	-0.904912589	-0.489450117	-0.968216403	-0.113152928	-0.338262455	-1.552857014	0.170753197	-8.78E-03	-0.400001229	-0.532698193
567	7.24E-02	0.508626334	-1.986190713	-1.479621814	9.49E-02	-0.914860566	-0.127884801	-1.141832649	-0.182053565	0.373006328	1.725163656	0.331607817	-0.156169615	-1.050063739	0.364068798	-1.761155059	-1.54576445	-2.615136409	-0.616291307	-0.72631974	0.965767979	0.725054887	-1.123186291	-3.055285589	0.401384388	0.632484548	0.146433194	1.114384321	1.39108991	1.27357754	0.829045997	0.203728724	0.086097527	0.79884808	-8.38E-02	-0.283421805	-0.760395417	-0.03073535	0.458867022	-0.443136375	-0.70844149	0.381444679	0.15622535	0.637330752	1.669690987	1.605367012	0.471769202	1.013362299	0.303607108	1.027429028	1.080631059	0.856061969	0.333213094	2.50E-02	-0.628686879	-1.007720586	-0.544982472	-0.901354964	1.017927504	0.196049614	0.59051217	1.24E-02
568	-0.564091358	0.513150744	-3.581027683	-1.123785095	-0.157240294	-0.866992251	-0.582206634	-0.634115348	-1.290175818	1.523482636	1.167968662	-0.105807305	-0.5379357	-0.398711079	0.342627075	-1.114277342	-1.818101684	-0.576499482	-1.722694906	-0.015073751	0.477301965	1.06584237	-1.84929552	-1.219745305	0.304143769	-0.33240958	0.044748817	0.427400227	1.338236097	0.359102222	1.429093051	0.180733835	0.261363925	0.333131754	-0.704572215	-0.863011181	2.31E-02	-0.467673878	0.481154552	-0.135365047	-0.900898164	0.360458609	1.196183372	0.747938507	1.942003239	1.318201944	1.178297475	1.00939048	0.609116321	0.153269621	0.970504482	1.072527977	0.347307201	0.66104428	-0.353895309	0.706260997	-0.93299912	-0.954863897	0.641344432	1.06198339	-0.751611093	0.306632995
569	-6.43E-02	-0.396662754	-2.509743832	-1.769838596	-0.177716225	-0.316577293	-1.755318434	-0.20214596	0.707110073	0.635029096	1.127094556	0.28059948	-7.13E-03	-0.4190236	0.314254693	-1.259099671	-0.806363621	-0.878906033	-0.807373754	0.522555904	-0.430860189	0.20262745	0.16590058	-1.834644433	0.560763731	-1.296961049	-1.196201749	-0.607490275	0.421964578	0.673246214	0.526620169	-0.181480487	-0.302760443	0.378142128	-0.709365494	-6.31E-03	6.91E-02	-0.198383852	0.654476705	-0.326429357	-1.538083076	1.357251734	1.634005759	1.464240895	1.982173707	2.261630527	1.737317583	0.698242862	-0.210180806	-0.222156578	0.905027652	1.750247635	0.451316776	0.427392835	0.56549101	0.478801989	6.88E-02	-2.092340798	0.346125135	-0.500519199	-0.773235888	0.430055379
570	-0.182876253	0.138089425	-0.789688935	-0.819992008	-0.678002506	-1.870688272	0.278256367	-0.648341188	0.379058823	-0.888471024	2.097174164	1.019424686	-0.554933403	-1.624659976	-0.775074823	-1.820861967	-1.10020775	-0.697151164	-0.686749104	-1.845447865	0.434129969	-0.188936588	-1.314148491	-1.757309324	-0.443235735	0.541072985	-8.93E-02	0.801997811	1.243090847	1.469742179	0.605818628	0.173635456	0.370119058	0.517100302	0.200648755	0.501775418	0.612970203	-0.712876465	-2.304171617	0.250291268	-0.854451817	0.504654078	1.410963128	2.388209124	1.030738741	1.981420749	0.887264616	0.461092206	0.384038572	-0.103721749	-0.11073153	0.87096094	-0.508770827	-0.707256471	0.973851214	-0.211706338	5.13E-02	-0.393572963	0.642805527	0.701853286	0.854976831	-9.52E-02
571	-0.206543914	-0.61902434	-1.43181789	-1.261123746	-2.39E-02	-0.955271386	-0.186459325	-0.792047756	0.897397833	-0.463698956	1.659561402	-0.344613417	-0.356575895	-0.831613823	0.737808009	-0.23926857	-1.128516321	-1.599936998	-4.64E-02	-0.771956749	-0.987608259	-0.739814369	-0.636481872	-2.59671389	1.460984477	1.20E-02	-0.915363103	1.177956331	0.410489832	1.187652047	0.670090914	3.11E-02	0.768195318	0.682006513	-0.423931115	0.72679119	0.315915911	0.101589072	-1.028693037	0.94460257	-0.529949417	-0.301564233	0.5829537	2.06489927	0.440196865	1.752074294	2.028303985	-0.623384058	-1.34710901	0.756790831	1.242685878	2.131560254	0.22102226	-0.252362391	-0.915857231	-0.433982163	-0.350349597	0.141480191	1.774157835	-0.936140379	-0.309999544	-0.332252717
572	-0.391199467	-0.28283267	-1.147351652	-0.90100911	-0.278266124	-1.083779435	-0.938842709	2.99E-02	-0.252720105	0.218036212	0.99406735	-0.355032325	9.25E-02	-0.344302957	0.597906398	-0.55188704	-1.495137492	-0.096412492	-0.869122563	1.35E-02	-0.523319517	0.468046837	-0.494824457	-2.520602798	0.768290419	-1.549259286	-1.16178509	0.604239225	0.244508189	4.53E-02	0.632761686	-0.301873294	-0.501300157	0.884541188	-1.023470356	-0.265589821	-0.500232444	-0.128509556	0.671048466	-0.48268441	-1.7143556	0.898412476	2.096623254	1.751330828	1.82734446	1.816704141	2.101193344	0.82503795	-0.381654711	1.140292744	1.354074565	1.950227762	0.134561921	1.278004369	-2.47E-02	-0.152990184	-0.701245509	-1.87032829	0.24394259	-0.466158025	-0.146131934	0.216553639
573	0.648438327	1.236309668	0.117623674	0.89994553	-0.159213929	-0.640741583	0.140714018	-0.17584728	1.100546563	0.237268553	-5.08E-02	0.943133864	-0.122876946	-0.317482476	0.674954278	-0.43393012	-1.195153021	-1.356172415	-0.201410182	-0.554948001	0.949048391	1.236908302	-1.078378985	-2.581324896	0.480468557	-0.401334186	-8.71E-02	1.181396042	1.198511064	0.995980224	1.104911783	-2.279850792	-0.838506832	1.020010213	-0.815123705	-1.013460175	1.640898102	-1.567135092	-0.209488273	0.692436926	0.393947536	0.598206407	1.702311699	-5.38E-02	1.739324896	0.121045047	0.885710709	1.024805402	-0.387988438	-1.570832417	-2.005824117	0.691340052	-0.519950625	0.99315764	-0.435612107	-0.983908947	-0.213574862	-0.789438292	0.357727947	0.27243779	-1.093377065	-1.144841496
574	-0.156866044	0.15444369	-0.115703668	-0.770910407	-0.433771629	-0.795102171	-7.64E-02	5.89E-02	-0.760645334	1.225162126	2.178604537	0.168317105	-0.120913802	-0.849910518	0.346387353	-1.511364282	-2.209161347	-2.08195726	-1.709580012	-0.24923707	0.659473302	1.468097454	-0.9782863	-2.559004068	0.187966153	-0.123797804	0.066897893	0.841405579	1.542037319	1.158791201	1.171637682	-0.648962223	-0.235675439	0.444118256	-0.549801316	-0.794302973	1.359329024	-0.618598351	-0.142524195	-1.719944995	-1.315537208	0.615664001	0.295722163	0.761330054	1.796810276	5.31E-02	1.152527704	1.191770584	0.501397641	0.51758082	1.03259829	0.748948002	-0.260975138	1.046754822	0.470213838	-0.184047416	-0.260908287	-1.305597916	-4.79E-04	0.571211609	-0.346327997	9.91E-02
575	-0.559903025	-0.688694972	-2.085459654	-1.387303164	-0.19036492	-0.909966459	-1.011409932	-0.424927163	0.603534948	0.35009842	1.636091144	0.132959529	-0.190087577	-1.163032108	0.355731326	-0.833616621	-0.898370927	-1.010816	0.34102723	-0.456569645	2.40E-03	4.85E-02	-0.194836789	-3.012058342	0.498582664	-0.967134946	-1.226817472	0.455294476	0.527579231	-0.121073641	0.608765063	0.498060278	-9.97E-02	0.431102947	-0.804440775	0.375278342	-7.63E-02	1.095201513	-0.168732086	-0.366726143	-1.321836331	1.017064537	1.580586881	1.53664926	1.078041303	1.731890594	2.427129398	0.59222585	-1.056700179	0.388454026	0.595053279	1.594786599	0.307740185	1.530947197	0.278042535	1.33E-02	1.85E-02	-1.694760544	0.803483377	-0.865287151	0.116139119	0.216713835
576	-0.135942736	0.22888626	-1.279565015	-1.447796509	-0.321617551	-1.576336002	-0.430293519	-1.06417854	-0.318978571	0.57474457	1.495423469	-0.261642187	0.133311025	-0.787161943	-0.442746959	-1.490084468	-1.371290546	-2.371873724	-1.287153157	-0.702656555	6.25E-02	0.270456785	-1.33953149	-2.716038077	-0.313300394	0.222707722	0.149397236	0.844573492	1.72239299	1.335037226	0.887260557	0.444764457	-4.27E-02	0.81986752	-0.340938105	0.355383645	1.354578116	0.181557958	-0.254885509	0.531339522	-0.426549106	-0.269209496	1.20247476	1.94039905	1.253935474	1.418672758	1.676383307	1.085930636	0.601711093	0.557216361	-1.532524672	0.461961172	-0.62990826	-0.259043537	0.244758746	0.307826886	9.71E-02	-0.710681917	0.792827078	0.881741905	-0.131579533	0.119132322
577	-1.123265776	-0.414076173	-0.930766152	-0.961441033	-0.630782304	-0.808660103	-0.219923219	-6.56E-02	1.017936408	0.376303575	0.740285473	8.02E-02	-0.299852687	-1.010014873	0.385051593	-0.877167457	-1.84279577	-2.423739897	-0.581410043	-0.236367991	-0.43657297	-0.320145428	0.26444095	-2.960951347	-0.172955943	-1.623377412	-1.608839048	0.491391404	0.338540583	0.761427844	1.836895845	1.012839744	-0.275750324	0.854167603	-0.268396511	-3.51E-02	-0.370114527	-0.991829094	6.34E-02	-0.236882269	-0.217345915	0.228113327	1.868448584	1.362920334	1.063069673	1.194155113	1.757020612	0.796076386	-0.197783772	1.120074867	0.497515532	1.073719438	0.154975255	0.524147205	0.2888517	0.566299255	1.442790647	-1.65790303	0.84842336	-0.345592978	0.443171424	0.692832039
578	-0.109748785	-5.99E-02	-1.054359708	-0.993309794	-0.54794526	-1.731235525	-0.390057648	-0.543141396	-0.672232796	1.048657599	0.812208894	-0.63782434	0.380283511	0.194066033	0.348953943	-2.080993229	-1.792285325	-1.660627025	-1.030806682	-0.568082078	0.590047618	1.555301901	-1.55456922	-2.051638161	0.118897936	-0.54615746	0.961566166	0.666352082	1.70441462	1.921093303	1.184551816	0.790163168	-0.478095274	0.625311185	0.295536407	-0.534097691	0.566853622	4.48E-02	0.47365317	0.357992048	-1.486034007	6.56E-03	-0.184662587	-0.172640912	1.798677188	0.91877016	1.620461715	0.654421524	0.524952806	1.143727336	0.673474277	0.95786888	-8.01E-02	-0.529183774	0.163400079	0.32682467	-1.032396643	-1.506257249	0.996968411	1.023171453	-0.681180801	-0.740456254
579	0.295797164	0.592281107	7.64E-04	0.333890464	-0.420745376	-1.402294539	0.40472198	0.335828777	0.8935477	-0.366183482	0.45706978	1.187860642	-2.38E-02	-0.151135032	0.664552278	1.187674638	-1.969483785	-1.235990047	-0.061564927	-1.457771526	1.191902824	0.586421926	-0.712113612	-2.499329532	0.68754084	0.192845228	0.421063013	1.225495337	1.151827926	1.697180931	0.812128171	-1.263428769	-0.607464863	1.588050716	0.25653813	-0.713184833	1.45279764	1.19E-02	-1.177755629	-0.256318914	0.618016992	-1.188220081	8.81E-02	-0.644864444	1.091687973	0.360276787	2.185919293	0.565793661	-2.100000432	-1.748085034	0.605639087	-0.179539596	-7.55E-03	0.665421951	-0.763400424	-0.270057016	3.23E-02	0.27627867	-0.149876068	-0.459469105	-0.327797066	-1.96172679
